date,source,last_updated,cpi_overall_index,cpi_food_non_alcoholic_beverages,cpi_non_food,headline_inflation,core_inflation_excl_energy
2025-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,261.7167,291.0393,239.0999,5.388,4.5663
2025-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,259.3518,287.8874,237.6504,6.3284,5.4491
2025-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,256.9712,284.8763,235.686,8.0463,7.3732
2025-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,258.0221,287.4805,235.5422,9.4192,8.8263
2025-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,255.7121,285.898,232.8647,11.4784,11.5187
2025-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,259.0624,293.2236,233.206,12.1378,11.996
2025-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,257.323,291.3581,231.562,13.667,12.9979
2025-May,Bank of Ghana Statistical Bulletin,2026-04-20,260.4575,292.7886,235.6867,18.3778,18.4098
2025-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,258.5883,290.2406,234.3376,21.2402,20.978
2025-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,256.5302,287.6523,232.6856,22.4055,23.2
