year,country,country_code,source,last_updated,exports_of_goods_services_of_gdp,imports_of_goods_services_of_gdp,exports_of_goods_services_usd,imports_of_goods_services_usd,foreign_direct_investment_net_inflows_of_gdp,foreign_direct_investment_net_inflows_usd,foreign_direct_investment_net_outflows_of_gdp,merchandise_trade_of_gdp,merchandise_exports_usd,merchandise_imports_usd
2024,Ghana,GH,World Bank Open Data,2026-04-20,35.4734,34.315,29197465998.8647,28244066026.1723,2.1451,1765552579.5641,,43.0845,20221000000,15241000000
2023,Ghana,GH,World Bank Open Data,2026-04-20,31.7708,32.617,25590486225.4334,26272099171.5081,1.6379,1319315614.6799,,38.1292,16703000000,14009000000
2022,Ghana,GH,World Bank Open Data,2026-04-20,34.664,35.4514,25623315466.9184,26205330553.5428,1.9324,1428411737.133,,43.1513,17276000000,14621000000
2021,Ghana,GH,World Bank Open Data,2026-04-20,30.0551,32.6527,23898089227.0418,25963543826.9813,3.1863,2533586462.0387,,35.6616,14727000000,13629000000
2020,Ghana,GH,World Bank Open Data,2026-04-20,31.5254,35.0501,22070393252.1853,24537944240.0045,2.6794,1875782953.469,,38.4255,14472000000,12429000000
2019,Ghana,GH,World Bank Open Data,2026-04-20,37.4496,39.3752,25597786148.2046,26913986432.3936,5.6762,3879831469.7,,42.5426,15668000000,13411000000
2018,Ghana,GH,World Bank Open Data,2026-04-20,33.4549,34.5036,22501546548.8178,23206913262.4037,4.444,2989035000.0,,41.7444,14943000000,13134000000
2017,Ghana,GH,World Bank Open Data,2026-04-20,33.8769,36.6715,20456689539.6174,22144229690.5959,5.3904,3254990000.0,,43.855,13835000000,12647000000
2016,Ghana,GH,World Bank Open Data,2026-04-20,31.1932,36.6838,17513188147.4573,20595796190.5901,6.2078,3485333369.2796,,42.8504,11138000000,12920000000
2015,Ghana,GH,World Bank Open Data,2026-04-20,33.8317,42.6896,16725314357.9985,21104358073.9633,6.4574,3192320530.7897,,48.1139,10321000000,13465000000
